transaction_id,wallet_from,wallet_to,amount,coin_type,timestamp
TX001,0xAlpha1111,0xBravo2222,2.5,BTC,2024-01-15T10:30:00Z
TX002,0xBravo2222,0xCharl3333,1.8,BTC,2024-01-15T10:32:00Z
TX003,0xCharl3333,0xAlpha1111,1.6,BTC,2024-01-15T10:35:00Z
TX004,0xDelta4444,0xEcho55555,15.0,ETH,2024-01-16T08:00:00Z
TX005,0xDelta4444,0xFoxtr6666,12.3,ETH,2024-01-16T08:01:00Z
TX006,0xDelta4444,0xGolf77777,8.7,ETH,2024-01-16T08:02:00Z
TX007,0xDelta4444,0xHotel8888,20.0,ETH,2024-01-16T08:03:00Z
TX008,0xDelta4444,0xIndia9999,5.5,ETH,2024-01-16T08:04:00Z
TX009,0xDelta4444,0xJulie0000,9.1,USDT,2024-01-16T08:05:00Z
TX010,0xKilo11111,0xLima22222,500.0,USDT,2024-01-17T14:00:00Z
TX011,0xLima22222,0xMike33333,480.0,USDT,2024-01-17T14:00:30Z
TX012,0xMike33333,0xNovem4444,470.0,USDT,2024-01-17T14:01:00Z
TX013,0xNovem4444,0xOscar5555,460.0,USDT,2024-01-17T14:01:30Z
TX014,0xAlpha1111,0xDelta4444,3.0,BTC,2024-01-18T09:15:00Z
TX015,0xBravo2222,0xAlpha1111,0.5,BTC,2024-01-18T11:00:00Z
TX016,0xEcho55555,0xDelta4444,14.0,ETH,2024-01-18T12:00:00Z
TX017,0xFoxtr6666,0xDelta4444,11.0,ETH,2024-01-18T12:30:00Z
TX018,0xGolf77777,0xPapa66666,8.0,ETH,2024-01-19T06:00:00Z
TX019,0xPapa66666,0xQuebe7777,7.5,ETH,2024-01-19T06:02:00Z
TX020,0xQuebe7777,0xGolf77777,7.0,ETH,2024-01-19T06:04:00Z
TX021,0xHotel8888,0xIndia9999,19.0,ETH,2024-01-20T10:00:00Z
TX022,0xIndia9999,0xJulie0000,18.0,USDT,2024-01-20T10:05:00Z
TX023,0xJulie0000,0xHotel8888,17.0,USDT,2024-01-20T10:10:00Z
TX024,0xOscar5555,0xKilo11111,400.0,USDT,2024-01-21T15:00:00Z
TX025,0xKilo11111,0xLima22222,390.0,USDT,2024-01-21T15:00:15Z
TX026,0xLima22222,0xMike33333,380.0,USDT,2024-01-21T15:00:30Z
TX027,0xRomeo8888,0xDelta4444,6.0,BTC,2024-01-22T08:00:00Z
TX028,0xSierr9999,0xDelta4444,4.0,BTC,2024-01-22T08:05:00Z
TX029,0xTango0000,0xDelta4444,7.0,BTC,2024-01-22T08:10:00Z
TX030,0xAlpha1111,0xCharl3333,1.0,ETH,2024-01-22T09:00:00Z
TX031,0xCharl3333,0xBravo2222,0.9,ETH,2024-01-22T09:01:00Z
TX032,0xBravo2222,0xAlpha1111,0.8,ETH,2024-01-22T09:02:00Z
TX033,0xPapa66666,0xRomeo8888,5.0,BTC,2024-01-23T11:00:00Z
TX034,0xRomeo8888,0xSierr9999,4.5,BTC,2024-01-23T11:30:00Z
TX035,0xSierr9999,0xTango0000,4.0,BTC,2024-01-23T12:00:00Z
TX036,0xTango0000,0xPapa66666,3.5,BTC,2024-01-23T12:30:00Z
TX037,0xDelta4444,0xAlpha1111,10.0,USDT,2024-01-24T07:00:00Z
TX038,0xDelta4444,0xBravo2222,10.0,USDT,2024-01-24T07:01:00Z
TX039,0xDelta4444,0xCharl3333,10.0,USDT,2024-01-24T07:02:00Z
TX040,0xDelta4444,0xPapa66666,10.0,USDT,2024-01-24T07:03:00Z
TX041,0xNovem4444,0xOscar5555,100.0,USDT,2024-01-25T16:00:00Z
TX042,0xOscar5555,0xNovem4444,95.0,USDT,2024-01-25T16:05:00Z
TX043,0xNovem4444,0xOscar5555,90.0,USDT,2024-01-25T16:10:00Z
TX044,0xQuebe7777,0xRomeo8888,3.0,ETH,2024-01-26T13:00:00Z
TX045,0xRomeo8888,0xQuebe7777,2.8,ETH,2024-01-26T13:05:00Z
TX046,0xLima22222,0xKilo11111,200.0,USDT,2024-01-27T09:00:00Z
TX047,0xKilo11111,0xNovem4444,195.0,USDT,2024-01-27T09:00:20Z
TX048,0xNovem4444,0xLima22222,190.0,USDT,2024-01-27T09:00:40Z
TX049,0xAlpha1111,0xSierr9999,0.3,BTC,2024-01-28T18:00:00Z
TX050,0xSierr9999,0xAlpha1111,0.25,BTC,2024-01-28T18:30:00Z
